Fecha,Sitio,Grabadora,Hora_inicio,Hora_fin,Especie,punto escucha-V,punto escucha-O,movimiento-V,movimiento-O,Mas de 100m,Fuera de censo,Climatología,Comentarios,censador
10/03/2023,Control,1,8:30,8:50,Turdus merula,0,2,1,0,0,,Buen tiempo,,
10/03/2023,Control,1,8:30,8:50,Curruca melanocephala,0,4,0,4,0,,Buen tiempo,,
10/03/2023,Control,1,8:30,8:50,Galerida theklae,0,1,0,1,0,,Buen tiempo,,
10/03/2023,Control,1,8:30,8:50,Cyanopica cooki,1,3,0,2,0,,Buen tiempo,,
10/03/2023,Control,1,8:30,8:50,Erithacus rubecula,0,1,0,0,0,,Buen tiempo,,
10/03/2023,Control,1,8:30,8:50,Curruca undata,1,3,0,0,0,,Buen tiempo,,
10/03/2023,Control,1,8:30,8:50,Serinus serinus,0,1,2,0,0,,Buen tiempo,,
10/03/2023,Control,1,8:30,8:50,Hirundo rustica,0,0,0,1,0,,Buen tiempo,,
10/03/2023,Sabinar,2,9:05,9:25,Serinus serinus,1,2,4,3,0,,Buen tiempo,,
10/03/2023,Sabinar,2,9:05,9:25,Fringilla coelebs,0,3,3,0,0,,Buen tiempo,,
10/03/2023,Sabinar,2,9:05,9:25,Chloris chloris,0,3,0,0,0,,Buen tiempo,,
10/03/2023,Sabinar,2,9:05,9:25,Curruca melanocephala,0,3,0,2,0,,Buen tiempo,,
10/03/2023,Sabinar,2,9:05,9:25,Turdus merula,0,1,1,1,0,,Buen tiempo,,
10/03/2023,Sabinar,2,9:05,9:25,Columba palumbus,0,0,2,0,0,,Buen tiempo,,
10/03/2023,Ojillo,3,9:34,9:55,Cyanopica cooki,3,1,0,2,0,,Buen tiempo,,
10/03/2023,Ojillo,3,9:34,9:55,Turdus merula,0,3,0,3,0,,Buen tiempo,,
10/03/2023,Ojillo,3,9:34,9:55,Serinus serinus,0,3,3,0,0,,Buen tiempo,,
10/03/2023,Ojillo,3,9:34,9:55,Curruca melanocephala,0,2,0,3,0,,Buen tiempo,,
10/03/2023,Ojillo,3,9:34,9:55,Corvus corax,0,2,0,0,0,,Buen tiempo,,
10/03/2023,Ojillo,3,9:34,9:55,Parus major,0,2,0,0,0,,Buen tiempo,,
10/03/2023,Ojillo,3,9:34,9:55,Columba palumbus,1,1,0,1,0,,Buen tiempo,,
10/03/2023,Ojillo,3,9:34,9:55,Curruca undata,0,0,1,1,0,,Buen tiempo,,
10/03/2023,Ojillo,3,9:34,9:55,Phylloscopus collybita,0,0,0,2,0,,Buen tiempo,,
10/03/2023,Ojillo,3,9:34,9:55,Turdus philomelos,0,0,1,0,0,,Buen tiempo,,
10/03/2023,Ojillo,3,9:34,9:55,Chloris chloris,0,0,0,2,0,,Buen tiempo,,
10/03/2023,Santa Olalla,4,10:08,10:30,Cisticola juncidis,0,3,0,0,0,,Buen tiempo,,
10/03/2023,Santa Olalla,4,10:08,10:30,Luscinia megarhynchos,0,1,0,0,0,,Buen tiempo,,
10/03/2023,Santa Olalla,4,10:08,10:30,Turdus merula,0,2,0,0,0,,Buen tiempo,,
10/03/2023,Santa Olalla,4,10:08,10:30,Serinus serinus,2,0,0,2,0,,Buen tiempo,,
10/03/2023,Santa Olalla,4,10:08,10:30,Curruca melanocephala,0,3,1,3,0,,Buen tiempo,,
10/03/2023,Santa Olalla,4,10:08,10:30,Saxicola rubicola,2,0,0,0,0,,Buen tiempo,,
